show_id,rottentomatoes_audience_score,rottentomatoes_audience_#reviews,rottentomatoes_tomatometer_score,rottentomatoes_critics_#reviews
s2460,38,10,,0
s2461,28,75,,0
s2463,83,10,,0
s2464,93,750,,0
s2466,83,250000,79,80
s2467,57,10,95,22
s2471,33,1750,0,6
s2472,75,7500,,0
s2474,,10,,0
s2477,63,75000,32,38
s2480,69,32000,95,83
s2482,49,"['5,000+ Ratings']",75,124
s2483,,10,86,7
s2484,63,1750,,0
s2485,57,250000,5,117
s2488,83,175000,93,226
s2490,59,75,60,5
s2491,81,"['5,000+ Ratings']",92,238
s2494,97,250000,96,100
s2496,84,1750,94,54
s2497,71,17500,81,106
s2498,41,7500,42,62
s2500,37,1750,47,95
s2501,26,750,44,9
s2503,78,32000,86,160
s2506,45,250000,15,169
s2507,,10,33,6
s2508,62,75,,0
s2511,90,250000,81,236
s2516,34,750,,0
s2518,50,75,,0
s2521,77,7500,75,20
s2522,65,7500,88,8
s2523,87,250000,75,73
s2528,85,7500,67,15
s2533,54,750,33,9
s2537,72,10,,0
s2540,41,175,60,5
s2542,77,175,100,6
s2545,67,10,100,6
s2546,84,10,,0
s2547,,10,,0
s2549,67,10,,0
s2550,42,750,40,5
s2551,67,75,,0
s2552,44,10,67,6
s2553,29,10,,0
s2555,22,750,100,15
s2557,67,10,85,13
s2559,84,"['5,000+ Ratings']",83,12
s2562,72,1750,67,9
s2571,92,10,,0
s2575,60,10,,0
s2576,87,1750,87,15
s2579,84,250000,91,221
s2584,58,175,22,9
s2585,,10,,0
s2586,71,7500,,0
s2587,35,175,,0
s2589,55,750,,0
s2590,72,32000,100,12
s2591,,10,,0
s2593,76,1750,83,48
s2595,31,175,,0
s2597,22,75,,0
s2598,53,175,50,14
s2599,70,175,92,26
s2600,26,1750,100,49
s2602,56,10,100,7
s2610,81,750,91,89
s2611,50,10,,0
s2612,47,175,100,11
s2614,,10,,0
s2615,,10,,0
s2616,78,7500,72,60
s2621,29,10,67,9
s2622,63,750,0,21
s2623,54,750,,0
s2624,50,10,100,5
s2625,54,17500,51,146
s2627,50,10,100,7
s2628,98,175,,0
s2629,,10,,0
s2630,,10,,0
s2633,89,175,97,33
s2637,81,1750,94,16
s2638,46,175,85,27
s2640,56,10,,0
s2642,86,175,78,9
s2643,58,750,80,5
s2644,59,750,,0
s2651,20,750,,0
s2654,81,175,100,9
s2655,25,10,,0
s2656,72,175,58,26
s2658,88,10,,0
s2660,19,175,27,11
s2661,20,75,0,6
s2664,91,750,,0
s2665,,10,,0
s2667,72,"['5,000+ Ratings']",72,135
s2668,65,7500,87,15
s2669,29,175,43,7
s2670,44,175,68,19
s2671,68,7500,63,24
s2672,39,32000,45,145
s2675,64,175,,0
s2678,57,10,100,6
s2680,33,10,,0
s2681,93,10,,0
s2684,25,10,,0
s2689,34,1750,0,5
s2691,88,32000,97,281
s2692,66,250000,81,203
s2695,89,10,,0
s2697,11,750,,0
s2699,89,750,75,8
s2701,82,175000,94,281
s2703,,10,,0
s2704,43,75,,0
s2707,,10,,0
s2708,87,175000,95,208
s2710,15,10,,0
s2711,29,1750,50,6
s2712,29,1750,50,6
s2714,92,750,100,8
s2719,80,175,78,9
s2723,0,10,,0
